    nm         	nm
2.893875e+001	-1.500782e+000
2.899955e+001	-1.446385e+000
2.906035e+001	-1.390045e+000
2.912114e+001	-1.332733e+000
2.918194e+001	-1.281250e+000
2.924273e+001	-1.224910e+000
2.930353e+001	-1.158856e+000
2.936432e+001	-1.092802e+000
2.942512e+001	-1.033548e+000
2.948592e+001	-9.752653e-001
2.954671e+001	-9.140684e-001
2.960751e+001	-8.441290e-001
2.966830e+001	-7.771038e-001
2.972910e+001	-7.197924e-001
2.978989e+001	-6.585955e-001
2.985069e+001	-6.003127e-001
2.991148e+001	-5.439727e-001
2.997228e+001	-4.847185e-001
3.003307e+001	-4.274071e-001
3.009387e+001	-3.759240e-001
3.015466e+001	-3.273550e-001
3.021545e+001	-2.787860e-001
3.027625e+001	-2.214746e-001
3.033704e+001	-1.670773e-001
3.039784e+001	-1.204511e-001
3.045863e+001	-7.091073e-002
3.051942e+001	-1.651346e-002
3.058022e+001	4.371209e-002
3.064101e+001	1.068518e-001
3.070181e+001	1.602777e-001
3.076260e+001	1.981615e-001
3.082339e+001	3.380402e-001
3.088419e+001	4.079795e-001
3.094498e+001	4.546057e-001
3.100578e+001	4.662623e-001
3.106657e+001	5.828279e-001
